pixel,reflectance1,reflectance2,absorption1,absorption2,side,
72,1.03E-05,9.46E-06,0.066455137,0.937757317,2,
73,1.00E-05,9.79E-06,0.066987039,0.943363997,2,
74,9.72E-06,1.01E-05,0.058404456,0.944717334,2,
75,9.42E-06,1.04E-05,0.064510526,0.963558601,2,
76,9.16E-06,1.08E-05,0.056288667,0.966624214,2,
77,8.78E-06,1.12E-05,0.118784347,0.981009592,2,
78,8.54E-06,1.18E-05,0.107483031,0.945828201,2,
79,8.30E-06,1.21E-05,0.099457584,0.965780355,2,
80,8.02E-06,1.25E-05,0.121578082,0.979994428,2,
81,7.84E-06,1.29E-05,0.094493381,0.989542726,2,
82,7.58E-06,1.35E-05,0.112826441,0.976248054,2,
83,7.28E-06,1.39E-05,0.16447939,0.992966948,2,
84,7.07E-06,1.45E-05,0.167315887,0.982501564,2,
85,6.93E-06,1.52E-05,0.124631026,0.971340737,2,
86,6.60E-06,1.56E-05,0.210947478,1,2,
87,6.39E-06,1.64E-05,0.229899185,0.976826249,2,
88,6.23E-06,1.69E-05,0.209702012,0.995492985,2,
89,6.08E-06,1.78E-05,0.192876355,0.958094723,2,
90,6.04E-06,1.88E-05,0.091208824,0.915759602,2,
91,5.65E-06,1.92E-05,0.261555113,0.973269494,2,
92,5.54E-06,2.01E-05,0.22389404,0.945496498,2,
93,5.28E-06,2.12E-05,0.307023984,0.919711576,2,
94,5.16E-06,2.19E-05,0.283711313,0.935346273,2,
95,5.02E-06,2.29E-05,0.278352083,0.92686731,2,
96,4.86E-06,2.38E-05,0.298144149,0.923166665,2,
97,4.69E-06,2.50E-05,0.322799768,0.904457691,2,
98,4.55E-06,2.62E-05,0.331415728,0.88760704,2,
99,4.49E-06,2.77E-05,0.271631754,0.834429063,2,
100,4.21E-06,2.86E-05,0.426806432,0.860583807,2,
101,4.17E-06,2.98E-05,0.342911956,0.860705729,2,
102,4.01E-06,3.11E-05,0.389773634,0.861647622,2,
103,3.85E-06,3.25E-05,0.441128622,0.850055414,2,
104,3.76E-06,3.41E-05,0.426445812,0.831938937,2,
105,3.58E-06,3.57E-05,0.512506462,0.822208488,2,
106,3.51E-06,3.72E-05,0.479544019,0.824569626,2,
107,3.45E-06,3.92E-05,0.432565214,0.790011739,2,
108,3.23E-06,4.13E-05,0.587198462,0.760582647,2,
109,3.16E-06,4.30E-05,0.568095004,0.770871543,2,
110,3.12E-06,4.48E-05,0.498353825,0.772996175,2,
111,2.96E-06,4.73E-05,0.597405234,0.735253999,2,
112,2.98E-06,4.91E-05,0.473704666,0.756300793,2,
113,2.85E-06,5.12E-05,0.530254776,0.767564182,2,
114,2.80E-06,5.39E-05,0.500937394,0.742792038,2,
115,2.60E-06,5.60E-05,0.671796816,0.759155167,2,
116,2.57E-06,5.86E-05,0.621178827,0.762234274,2,
117,2.44E-06,6.11E-05,0.705426804,0.770995025,2,
118,2.39E-06,6.40E-05,0.672922596,0.768582779,2,
119,2.19E-06,6.65E-05,0.902157303,0.768582779,2,
120,2.27E-06,6.99E-05,0.673595273,0.768582779,2,
121,2.18E-06,7.25E-05,0.712584437,0.768582779,2,
122,2.05E-06,7.58E-05,0.850186777,0.768582779,2,
123,1.97E-06,7.92E-05,0.890462813,0.768582779,2,
124,1.89E-06,8.23E-05,0.942865592,0.768582779,2,
125,1.95E-06,8.59E-05,0.734263007,0.768582779,2,
126,1.82E-06,8.97E-05,0.867834398,0.768582779,2,
127,1.73E-06,9.36E-05,0.95388388,0.768582779,2,
128,1.66E-06,9.72E-05,1,0.768582779,2,
